学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,82.0,33.3,28.500000000000004,18.6,20.9,74.4,82,93,82.69999999999999,85.24,0.8306060606060606,0.8636363636363638,0.8066945606694561,0.93
20210102,李四,86.0,32.79999999999999,26.0,17.6,23.6,70.4,86,88,82.4,83.98,0.8260606060606059,0.7878787878787878,0.8753138075313809,0.8800000000000001
20210103,王五,81.0,33.6,28.200000000000003,17.6,23.1,70.4,81,88,84.9,85.48,0.8354545454545454,0.8545454545454546,0.8606694560669458,0.8800000000000001
20210104,赵六,84.0,33.900000000000006,27.2,18.2,24.6,72.8,84,91,85.7,86.94,0.8463636363636364,0.8242424242424242,0.9108786610878663,0.9099999999999999
20210105,陈七,79.0,33.300000000000004,27.3,18.0,23.4,72.0,79,90,84.00000000000001,85.25,0.8260606060606063,0.8272727272727273,0.8736401673640167,0.9
20210201,刘八,84.0,33.7,28.0,16.2,22.5,64.8,84,81,84.2,83.39,0.842121212121212,0.8484848484848485,0.8284518828451883,0.8099999999999999
20210202,周九,79.0,33.3,27.6,17.2,22.2,68.8,79,86,83.1,83.62,0.826060606060606,0.8363636363636364,0.8301255230125524,0.86
20210203,吴十,80.0,31.999999999999993,28.5,16.8,22.3,67.2,80,84,82.8,82.96,0.7999999999999998,0.8636363636363636,0.8288702928870294,0.8400000000000001
20210204,郑十一,91.0,31.799999999999997,25.6,18.6,22.9,74.4,91,93,80.3,84.01,0.8124242424242425,0.7757575757575758,0.8652719665271967,0.93
20210205,孙十二,79.0,33.199999999999996,24.799999999999997,18.2,22.2,72.8,79,91,80.2,82.84,0.8239393939393939,0.7515151515151515,0.8405857740585775,0.9099999999999999
