学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,85.0,34.9,25.700000000000003,17.6,23.1,70.4,85,88,83.69999999999999,84.84,0.869090909090909,0.7787878787878789,0.8606694560669458,0.8800000000000001
20210102,李四,83.0,33.199999999999996,27.3,18.0,23.1,72.0,83,90,83.6,85.17,0.8299999999999998,0.8272727272727273,0.8648535564853558,0.9
20210103,王五,83.0,32.0,26.099999999999998,18.0,22.1,72.0,83,90,80.2,82.79,0.8045454545454546,0.7909090909090909,0.8355648535564855,0.9
20210104,赵六,76.0,33.0,26.6,17.400000000000002,21.5,69.60000000000001,76,87,81.10000000000001,82.32,0.8151515151515151,0.8060606060606061,0.8117154811715482,0.8700000000000001
20210105,陈七,92.0,32.2,28.3,16.0,23.0,64.0,92,80,83.50000000000001,83.05,0.8224242424242425,0.8575757575757575,0.8410041841004186,0.8
20210201,刘八,90.0,32.699999999999996,27.9,18.0,21.2,72.0,90,90,81.8,84.26,0.83,0.8454545454545455,0.8092050209205021,0.9
20210202,周九,77.0,31.799999999999997,27.599999999999998,18.2,21.3,72.8,77,91,80.70000000000002,83.09,0.7912121212121213,0.8363636363636363,0.8142259414225942,0.9099999999999999
20210203,吴十,78.0,33.0,27.799999999999997,16.2,22.299999999999997,64.8,78,81,83.1,82.32,0.8181818181818181,0.8424242424242423,0.8225941422594142,0.8099999999999999
20210204,郑十一,94.0,34.1,26.0,16.400000000000002,23.0,65.60000000000001,94,82,83.10000000000001,83.37,0.8657575757575758,0.7878787878787878,0.8451882845188287,0.8200000000000001
20210205,孙十二,87.0,33.00000000000001,28.9,17.6,22.1,70.4,87,88,84.0,85.15,0.831818181818182,0.8757575757575757,0.8313807531380755,0.8800000000000001
