学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,78.0,32.5,28.7,17.0,23.6,68.0,78,85,84.8,84.51,0.8075757575757576,0.8696969696969696,0.8690376569037658,0.85
20210102,李四,87.0,32.8,27.0,18.0,21.5,72.0,87,90,81.3,83.76,0.8275757575757575,0.8181818181818182,0.8179916317991632,0.9
20210103,王五,86.0,33.1,27.700000000000003,17.400000000000002,22.5,69.60000000000001,86,87,83.3,84.36,0.8324242424242425,0.8393939393939395,0.8410041841004186,0.8700000000000001
20210104,赵六,87.0,33.4,27.6,16.6,24.4,66.4,87,83,85.4,84.88,0.8403030303030303,0.8363636363636364,0.8882845188284519,0.8300000000000001
20210105,陈七,92.0,32.4,27.400000000000002,18.400000000000002,20.4,73.60000000000001,92,92,80.2,83.74,0.8266666666666667,0.8303030303030303,0.789958158995816,0.9200000000000002
20210201,刘八,94.0,32.7,26.3,18.400000000000002,21.1,73.60000000000001,94,92,80.10000000000001,83.77,0.8360606060606062,0.796969696969697,0.8104602510460254,0.9200000000000002
20210202,周九,87.0,33.199999999999996,27.0,17.8,21.799999999999997,71.2,87,89,81.99999999999999,84.0,0.836060606060606,0.8181818181818182,0.8246861924686193,0.89
20210203,吴十,81.0,32.300000000000004,28.3,17.8,23.0,71.2,81,89,83.60000000000001,84.82,0.8078787878787881,0.8575757575757575,0.8598326359832638,0.89
20210204,郑十一,83.0,32.400000000000006,28.700000000000003,19.0,23.1,76.0,83,95,84.2,86.84,0.8130303030303032,0.8696969696969697,0.8753138075313809,0.95
20210205,孙十二,86.0,33.60000000000001,25.2,17.0,21.9,68.0,86,85,80.70000000000002,82.04,0.8430303030303032,0.7636363636363637,0.8192468619246862,0.85
