班级,学号,姓名,1.1（2.0分）,1.2（2.0分）,1.3（2.0分）,1.4（2.0分）,1.5（2.0分）,2.1（2.0分）,2.2（2.0分）,2.3（2.0分）,2.4（2.0分）,2.5（2.0分）,2.6（2.0分）,2.7（2.0分）,2.8（2.0分）,2.9（2.0分）,2.10（2.0分）,3.1（5.0分）,3.2（5.0分）,3.3（5.0分）,4.1（7.0分）,4.2（7.0分）,4.3（7.0分）,4.4（7.0分）,5.1（15.0分）,5.2（12.0分）
计算机2021-1班,20210101,张三,1.6,1.9,1.5,1.8,1.6,1.4,1.7,1.8,1.9,1.8,1.5,1.6,1.6,1.8,1.4,4.7,3.9,4.6,5.2,5.4,5.5,5.3,11.6,10.4
计算机2021-1班,20210102,李四,1.5,1.9,1.7,1.8,1.4,1.6,1.6,1.5,1.8,1.8,1.9,1.6,1.7,1.7,1.5,4.3,3.6,4.5,5.7,5.8,6.2,6.4,11.1,10.5
计算机2021-1班,20210103,王五,1.5,1.5,1.8,1.5,1.6,1.5,1.6,1.7,1.5,1.5,1.6,1.8,1.5,1.5,1.6,3.9,4.1,4.7,6.6,5.3,6.6,5.1,14.1,9.7
计算机2021-1班,20210104,赵六,1.8,1.5,1.4,1.8,1.7,1.4,1.6,1.5,1.6,1.6,1.7,1.9,1.5,1.6,1.6,4.4,4.6,3.9,5.8,6.5,5.1,5.8,13.3,8.7
计算机2021-1班,20210105,陈七,1.6,1.9,1.5,1.8,1.8,1.6,1.9,1.8,1.8,1.9,1.4,1.8,1.5,1.6,1.6,3.9,3.8,4.6,5.8,5.6,5,6.2,11.5,11
计算机2021-2班,20210201,刘八,1.6,1.8,1.4,1.8,1.9,1.6,1.8,1.5,1.5,1.7,1.8,1.4,1.7,1.9,1.8,3.9,3.7,3.8,5.9,6,5.4,5.1,11.7,8.7
计算机2021-2班,20210202,周九,1.4,1.7,1.9,1.7,1.7,1.5,1.6,1.8,1.5,1.6,1.7,1.5,1.5,1.5,1.8,3.7,4.3,4.4,5.1,6.2,5.2,5.1,13.2,9.4
计算机2021-2班,20210203,吴十,1.8,1.5,1.6,1.5,1.5,1.8,1.5,1.8,1.5,1.4,1.5,1.6,1.6,1.9,1.8,4.1,4.1,4.6,6.3,5.2,5.4,5,10.7,10.1
计算机2021-2班,20210204,郑十一,1.6,1.6,1.5,1.5,1.7,1.6,1.9,1.5,1.8,1.9,1.5,1.6,1.7,1.4,1.8,4.3,3.7,3.9,6.1,5.5,5.8,5.5,14.2,9.6
计算机2021-2班,20210205,孙十二,1.7,1.6,1.8,1.8,1.8,1.8,1.9,1.7,1.4,1.7,1.8,1.6,1.8,1.8,1.8,4.6,4.7,4.7,5.4,6.4,5.1,4.9,10.6,11
