学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,90.0,33.5,26.000000000000004,17.6,22.0,70.4,90,88,81.5,83.55,0.846969696969697,0.787878787878788,0.8284518828451883,0.8800000000000001
20210102,李四,90.0,32.9,28.6,16.2,21.6,64.8,90,81,83.1,82.92,0.8342424242424242,0.8666666666666667,0.8020920502092052,0.8099999999999999
20210103,王五,88.0,31.700000000000003,28.300000000000004,18.400000000000002,23.799999999999997,73.60000000000001,88,92,83.80000000000001,86.06,0.8057575757575758,0.8575757575757577,0.889539748953975,0.9200000000000002
20210104,赵六,86.0,33.2,27.099999999999998,16.2,22.0,64.8,86,81,82.3,82.16,0.8345454545454547,0.8212121212121212,0.8138075313807531,0.8099999999999999
20210105,陈七,81.0,33.2,27.2,17.0,22.5,68.0,81,85,82.9,83.33,0.8269696969696971,0.8242424242424242,0.8368200836820084,0.85
20210201,刘八,91.0,32.8,26.200000000000003,18.400000000000002,20.4,73.60000000000001,91,92,79.39999999999999,83.13,0.8336363636363635,0.7939393939393941,0.789958158995816,0.9200000000000002
20210202,周九,84.0,32.4,26.0,17.6,22.6,70.4,84,88,81.00000000000001,82.9,0.8145454545454545,0.7878787878787878,0.8460251046025107,0.8800000000000001
20210203,吴十,88.0,32.50000000000001,26.5,17.0,20.799999999999997,68.0,88,85,79.8,81.51,0.8227272727272729,0.803030303030303,0.7870292887029289,0.85
20210204,郑十一,80.0,32.6,26.8,16.6,23.799999999999997,66.4,80,83,83.19999999999999,82.99,0.8127272727272729,0.8121212121212121,0.8707112970711298,0.8300000000000001
20210205,孙十二,92.0,35.300000000000004,26.5,16.6,21.6,66.4,92,83,83.4,83.73,0.8881818181818183,0.803030303030303,0.8062761506276153,0.8300000000000001
