学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,92.0,32.800000000000004,26.3,18.2,24.7,72.8,92,91,83.8,86.01,0.8351515151515152,0.796969696969697,0.9138075313807531,0.9099999999999999
20210102,李四,84.0,33.0,26.6,17.0,21.9,68.0,84,85,81.5,82.5,0.8272727272727272,0.8060606060606061,0.8192468619246862,0.85
20210103,王五,81.0,33.5,26.999999999999996,16.8,21.5,67.2,81,84,82.0,82.45,0.8333333333333335,0.8181818181818181,0.8054393305439331,0.8400000000000001
20210104,赵六,84.0,31.6,27.4,17.0,23.0,68.0,84,85,81.99999999999999,82.85,0.7975757575757576,0.8303030303030302,0.8514644351464437,0.85
20210105,陈七,78.0,32.400000000000006,28.200000000000003,17.2,21.3,68.8,78,86,81.9,82.73,0.8054545454545456,0.8545454545454546,0.8037656903765691,0.86
20210201,刘八,94.0,31.1,26.200000000000003,16.6,23.6,66.4,94,83,80.9,82.08,0.8021212121212122,0.7939393939393941,0.8648535564853558,0.8300000000000001
20210202,周九,86.0,32.9,27.0,17.8,22.700000000000003,71.2,86,89,82.6,84.37,0.8281818181818181,0.8181818181818182,0.8510460251046027,0.89
20210203,吴十,92.0,32.99999999999999,26.700000000000003,18.6,22.2,74.4,92,93,81.89999999999999,85.18,0.8393939393939392,0.8090909090909092,0.8447698744769876,0.93
20210204,郑十一,88.0,34.400000000000006,26.9,16.8,22.9,67.2,88,84,84.20000000000002,84.34,0.8630303030303031,0.8151515151515151,0.8464435146443515,0.8400000000000001
20210205,孙十二,82.0,33.5,25.4,16.8,20.1,67.2,82,84,79.0,80.4,0.834848484848485,0.7696969696969697,0.7644351464435147,0.8400000000000001
