学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,92.0,32.5,26.299999999999997,17.0,23.5,68.0,92,85,82.3,83.46,0.8287878787878789,0.7969696969696969,0.8661087866108788,0.85
20210102,李四,95.0,33.5,25.0,18.400000000000002,23.0,73.60000000000001,95,92,81.5,84.8,0.8545454545454546,0.7575757575757576,0.8661087866108789,0.9200000000000002
20210103,王五,93.0,32.2,28.7,16.400000000000002,22.0,65.60000000000001,93,82,82.9,83.18,0.823939393939394,0.8696969696969696,0.8158995815899582,0.8200000000000001
20210104,赵六,82.0,32.4,27.3,18.0,23.1,72.0,82,90,82.80000000000001,84.56,0.8115151515151515,0.8272727272727273,0.8648535564853558,0.9
20210105,陈七,95.0,32.199999999999996,28.299999999999997,18.0,21.5,72.0,95,90,82.0,84.65,0.8269696969696969,0.8575757575757574,0.8179916317991632,0.9
20210201,刘八,79.0,34.400000000000006,26.9,16.0,19.6,64.0,79,80,80.9,80.58,0.8493939393939396,0.8151515151515151,0.7414225941422595,0.8
20210202,周九,81.0,33.0,27.900000000000002,18.0,21.1,72.0,81,90,82.0,83.95,0.8227272727272728,0.8454545454545456,0.8062761506276153,0.9
20210203,吴十,90.0,33.0,26.5,16.6,22.5,66.4,90,83,82.0,82.65,0.8363636363636363,0.803030303030303,0.8326359832635984,0.8300000000000001
20210204,郑十一,76.0,33.199999999999996,28.4,18.2,23.1,72.8,76,91,84.7,85.84,0.8193939393939392,0.8606060606060606,0.8669456066945608,0.9099999999999999
20210205,孙十二,88.0,33.300000000000004,27.299999999999997,16.2,21.9,64.8,88,81,82.5,82.4,0.8396969696969698,0.8272727272727272,0.8108786610878661,0.8099999999999999
