学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,85.0,33.9,26.9,18.8,20.2,75.2,85,94,80.99999999999999,84.45,0.8478787878787878,0.8151515151515151,0.788284518828452,0.9400000000000001
20210102,李四,76.0,31.9,24.6,16.400000000000002,20.6,65.60000000000001,76,82,77.1,78.27,0.7918181818181818,0.7454545454545455,0.77489539748954,0.8200000000000001
20210103,王五,87.0,33.199999999999996,26.4,18.2,19.2,72.8,87,91,78.8,82.26,0.836060606060606,0.7999999999999999,0.7527196652719665,0.9099999999999999
20210104,赵六,84.0,33.1,28.0,17.6,23.3,70.4,84,88,84.39999999999999,85.28,0.8293939393939394,0.8484848484848485,0.8665271966527198,0.8800000000000001
20210105,陈七,81.0,32.7,28.299999999999997,17.400000000000002,20.2,69.60000000000001,81,87,81.2,82.64,0.8163636363636364,0.8575757575757574,0.7736401673640169,0.8700000000000001
20210201,刘八,93.0,33.099999999999994,28.0,16.0,20.200000000000003,64.0,93,80,81.3,81.56,0.843030303030303,0.8484848484848485,0.7589958158995818,0.8
20210202,周九,80.0,33.0,26.6,17.0,24.1,68.0,80,85,83.69999999999999,83.84,0.8212121212121212,0.8060606060606061,0.883682008368201,0.85
20210203,吴十,85.0,32.99999999999999,25.799999999999997,17.0,22.4,68.0,85,85,81.19999999999999,82.34,0.8287878787878786,0.7818181818181817,0.8338912133891214,0.85
20210204,郑十一,90.0,32.4,25.2,16.2,23.4,64.8,90,81,81.00000000000001,81.45,0.8236363636363636,0.7636363636363637,0.8548117154811715,0.8099999999999999
20210205,孙十二,83.0,32.1,29.400000000000006,18.8,22.5,75.2,83,94,83.99999999999999,86.45,0.8066666666666666,0.8909090909090911,0.8556485355648537,0.9400000000000001
