学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,84.0,32.800000000000004,26.099999999999998,17.0,24.9,68.0,84,85,83.80000000000001,84.11,0.823030303030303,0.7909090909090909,0.9071129707112972,0.85
20210102,李四,91.0,33.3,27.700000000000003,18.8,23.4,75.2,91,94,84.39999999999999,87.13,0.8442424242424242,0.8393939393939395,0.8820083682008368,0.9400000000000001
20210103,王五,75.0,32.7,26.799999999999997,16.400000000000002,20.8,65.60000000000001,75,82,80.30000000000001,80.46000000000001,0.8072727272727274,0.812121212121212,0.780753138075314,0.8200000000000001
20210104,赵六,87.0,33.300000000000004,26.200000000000003,16.8,22.5,67.2,87,84,82.0,82.75,0.8381818181818184,0.7939393939393941,0.8347280334728034,0.8400000000000001
20210105,陈七,93.0,32.5,29.9,16.2,21.299999999999997,64.8,93,81,83.7,83.49,0.8303030303030303,0.906060606060606,0.7933054393305439,0.8099999999999999
20210201,刘八,84.0,33.1,27.4,17.400000000000002,23.7,69.60000000000001,84,87,84.2,84.89,0.8293939393939394,0.8303030303030302,0.8761506276150629,0.8700000000000001
20210202,周九,86.0,31.499999999999996,28.0,18.8,21.2,75.2,86,94,80.7,84.29,0.7984848484848484,0.8484848484848485,0.8175732217573222,0.9400000000000001
20210203,吴十,91.0,32.1,27.099999999999998,18.2,23.700000000000003,72.8,91,91,82.9,85.33,0.8187878787878788,0.8212121212121212,0.884518828451883,0.9099999999999999
20210204,郑十一,76.0,32.4,27.4,18.8,21.4,75.2,76,94,81.2,84.14,0.8024242424242424,0.8303030303030302,0.8234309623430963,0.9400000000000001
20210205,孙十二,77.0,33.1,28.199999999999996,18.2,20.6,72.8,77,91,81.89999999999999,83.93,0.8187878787878788,0.8545454545454544,0.793723849372385,0.9099999999999999
