学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,92.0,32.5,27.799999999999997,17.400000000000002,22.299999999999997,69.60000000000001,92,87,82.6,84.17,0.8287878787878789,0.8424242424242423,0.8351464435146444,0.8700000000000001
20210102,李四,90.0,32.6,25.7,17.6,23.5,70.4,90,88,81.80000000000001,83.76,0.827878787878788,0.7787878787878788,0.8723849372384939,0.8800000000000001
20210103,王五,81.0,30.9,26.700000000000003,17.0,22.6,68.0,81,85,80.19999999999999,81.44,0.7781818181818181,0.8090909090909092,0.8397489539748956,0.85
20210104,赵六,85.0,32.6,27.1,17.6,22.4,70.4,85,88,82.10000000000001,83.72,0.8203030303030304,0.8212121212121213,0.8401673640167365,0.8800000000000001
20210105,陈七,93.0,32.599999999999994,27.400000000000002,17.400000000000002,22.9,69.60000000000001,93,87,82.9,84.43,0.8324242424242423,0.8303030303030303,0.8527196652719666,0.8700000000000001
20210201,刘八,79.0,34.1,26.6,17.6,22.799999999999997,70.4,79,88,83.5,84.4,0.8430303030303031,0.8060606060606061,0.8518828451882846,0.8800000000000001
20210202,周九,81.0,32.7,27.5,18.0,20.2,72.0,81,90,80.4,82.83,0.8163636363636364,0.8333333333333334,0.7799163179916319,0.9
20210203,吴十,81.0,33.5,27.2,16.400000000000002,24.0,65.60000000000001,81,82,84.69999999999999,83.84,0.8333333333333335,0.8242424242424242,0.8744769874476989,0.8200000000000001
20210204,郑十一,82.0,32.5,27.700000000000003,18.2,21.6,72.8,82,91,81.8,84.11,0.8136363636363637,0.8393939393939395,0.8230125523012554,0.9099999999999999
20210205,孙十二,76.0,33.8,26.7,17.8,21.6,71.2,76,89,82.10000000000001,83.52,0.832121212121212,0.8090909090909091,0.8188284518828454,0.89
