学号,姓名,课程目标1_平时成绩,课程目标1_期末考试,课程目标2_期末考试,课程目标3_上机成绩,课程目标3_期末考试,课程目标4_上机成绩,平时考核总成绩,上机实验总成绩,期末考核总成绩,总成绩,课程目标1_个人达成度,课程目标2_个人达成度,课程目标3_个人达成度,课程目标4_个人达成度
20210101,张三,91.0,33.1,27.1,17.400000000000002,21.799999999999997,69.60000000000001,91,87,82.0,83.7,0.8400000000000001,0.8212121212121213,0.8205020920502093,0.8700000000000001
20210102,李四,92.0,32.00000000000001,28.0,18.8,21.4,75.2,92,94,81.4,85.08,0.8181818181818183,0.8484848484848485,0.8234309623430963,0.9400000000000001
20210103,王五,83.0,32.400000000000006,25.6,16.400000000000002,21.5,65.60000000000001,83,82,79.50000000000001,80.30000000000001,0.8130303030303032,0.7757575757575758,0.8012552301255231,0.8200000000000001
20210104,赵六,77.0,32.8,27.8,18.2,21.3,72.8,77,91,81.9,83.93,0.8124242424242424,0.8424242424242424,0.8142259414225942,0.9099999999999999
20210105,陈七,92.0,31.3,27.0,17.8,20.799999999999997,71.2,92,89,79.1,82.22,0.8033333333333333,0.8181818181818182,0.795397489539749,0.89
20210201,刘八,79.0,31.900000000000002,28.9,16.6,20.9,66.4,79,83,81.7,81.89,0.7963636363636365,0.8757575757575757,0.7857740585774059,0.8300000000000001
20210202,周九,75.0,32.00000000000001,27.299999999999997,16.2,21.0,64.8,75,81,80.30000000000001,80.21000000000001,0.7924242424242426,0.8272727272727272,0.7845188284518829,0.8099999999999999
20210203,吴十,87.0,33.5,25.4,17.8,24.5,71.2,87,89,83.4,84.98,0.8424242424242425,0.7696969696969697,0.9037656903765692,0.89
20210204,郑十一,93.0,33.1,26.400000000000002,19.0,23.5,76.0,93,95,83.0,86.5,0.843030303030303,0.8,0.887029288702929,0.95
20210205,孙十二,85.0,33.199999999999996,28.599999999999998,17.0,22.5,68.0,85,85,84.29999999999998,84.51,0.8330303030303029,0.8666666666666666,0.8368200836820084,0.85
